idaTvd trait nDau nHerd estimate rel type label pubCode base idaItb birthdate breed sex
CH900001666804 cca 30 12 111.66 0.86 P CH Y LM18 LMCHEM900001666804 1998 LM M
CH900001452001 cca 80 3 100.85 0.94 P CH Y LM18 LMCHEM900001452001 1998 LM M
CH900001666842 cca 37 7 108.16 0.90 P CH Y LM18 LMCHEM900001666842 1998 LM M
CH900001479572 cca 106 4 107.05 0.96 P CH Y LM18 LMCHEM900001479572 1998 LM M
CH900001850906 cca 31 3 97.20 0.86 P CH Y LM18 LMFRAM900001850906 1998 LM M
IT002191041124 cca 123 81 111.66 0.96 P CH Y LM18 LMITAM900090569940 1998 LM M
FR036150697466 cca 35 12 108.66 0.92 P CH Y LM18 LMFRAM900090889360 1998 LM M
CH900001719760 cca 27 4 105.77 0.87 P CH Y LM18 LMCHEM900001719760 1998 LM M
CH900001711429 cca 75 9 96.47 0.93 P CH Y LM18 LMCHEM900001711429 1998 LM M
CH900001649555 cca 54 5 110.15 0.93 P CH Y LM18 LMCHEM900001649555 1998 LM M
CH900001781026 cca 64 24 126.35 0.93 P CH Y LM18 LMCHEM900001781026 1998 LM M
CH900001749439 cca 97 19 96.47 0.95 P CH Y LM18 LMCHEM900001749439 1998 LM M
FR088380862084 cca 33 7 102.38 0.93 P CH Y LM18 LMFRAM008838086208 1998 LM M
CH900001749453 cca 69 11 96.69 0.94 P CH Y LM18 LMCHEM900001749453 1998 LM M
CH900001749460 cca 44 4 119.00 0.89 P CH Y LM18 LMCHEM900001749460 1998 LM M
CH900001722692 cca 20 3 104.96 0.84 P CH Y LM18 LMCHEM900001722692 1998 LM M
CH900001684433 cca 29 6 103.31 0.90 P CH Y LM18 LMCHEM900001684433 1998 LM M
CH900001067854 cca 65 2 89.69 0.92 P CH Y LM18 LMCHEM900001067854 1999 LM M
FR036150995210 cca 22 2 104.78 0.83 P CH Y LM18 LMFRAM003615099521 1999 LM M
IT330000034259 cca 112 76 111.27 0.96 P CH Y LM18 LMITAM900090935510 1999 LM M
CH900001781095 cca 33 1 108.29 0.87 P CH Y LM18 LMCHEM900001781095 1999 LM M
CH900001781378 cca 30 2 109.13 0.86 P CH Y LM18 LMCHEM900001781378 1999 LM M
