idaTvd trait nDau nHerd estimate rel type label pubCode base idaItb birthdate breed sex
CH900001547059 cwa 28 10 109.02 0.79 P CH Y LM18 LMCHEM900001547059 1998 LM M
CH900000956906 cwa 69 2 101.49 0.87 P CH Y LM18 LMCHEM900000956906 1998 LM M
CH900001666804 cwa 30 12 102.97 0.78 P CH Y LM18 LMCHEM900001666804 1998 LM M
CH900001452001 cwa 80 3 104.25 0.91 P CH Y LM18 LMCHEM900001452001 1998 LM M
CH900001666842 cwa 37 7 98.63 0.84 P CH Y LM18 LMCHEM900001666842 1998 LM M
CH900001479572 cwa 105 4 87.07 0.93 P CH Y LM18 LMCHEM900001479572 1998 LM M
CH900001850906 cwa 30 3 99.99 0.76 P CH Y LM18 LMFRAM900001850906 1998 LM M
IT002191041124 cwa 123 81 94.80 0.93 P CH Y LM18 LMITAM900090569940 1998 LM M
FR036150697466 cwa 35 12 110.99 0.89 P CH Y LM18 LMFRAM900090889360 1998 LM M
CH900001719760 cwa 27 4 100.22 0.80 P CH Y LM18 LMCHEM900001719760 1998 LM M
CH900001711429 cwa 71 9 91.72 0.88 P CH Y LM18 LMCHEM900001711429 1998 LM M
CH900001649555 cwa 54 5 105.95 0.88 P CH Y LM18 LMCHEM900001649555 1998 LM M
CH900001781026 cwa 64 24 93.81 0.88 P CH Y LM18 LMCHEM900001781026 1998 LM M
CH900001749439 cwa 97 19 97.83 0.92 P CH Y LM18 LMCHEM900001749439 1998 LM M
FR088380862084 cwa 33 7 102.95 0.90 P CH Y LM18 LMFRAM008838086208 1998 LM M
CH900001749453 cwa 69 11 98.15 0.90 P CH Y LM18 LMCHEM900001749453 1998 LM M
CH900001749460 cwa 43 4 88.92 0.82 P CH Y LM18 LMCHEM900001749460 1998 LM M
CH900001722692 cwa 20 3 99.22 0.76 P CH Y LM18 LMCHEM900001722692 1998 LM M
CH900001684433 cwa 28 6 97.54 0.86 P CH Y LM18 LMCHEM900001684433 1998 LM M
CH900001067854 cwa 64 2 98.51 0.87 P CH Y LM18 LMCHEM900001067854 1999 LM M
FR036150995210 cwa 22 2 89.71 0.73 P CH Y LM18 LMFRAM003615099521 1999 LM M
IT330000034259 cwa 112 76 100.82 0.92 P CH Y LM18 LMITAM900090935510 1999 LM M
CH900001781095 cwa 33 1 95.86 0.79 P CH Y LM18 LMCHEM900001781095 1999 LM M
CH900001781378 cwa 29 1 99.85 0.78 P CH Y LM18 LMCHEM900001781378 1999 LM M
CH900001949495 cwa 119 51 97.38 0.93 P CH Y LM18 LMCHEM900001949495 1999 LM M
CH900001699338 cwa 45 5 103.81 0.91 P CH Y LM18 LMCHEM900001699338 1999 LM M
CH900001768430 cwa 38 2 78.74 0.81 P CH Y LM18 LMCHEM900001768430 1999 LM M
FR019303691634 cwa 77 43 106.02 0.90 P CH Y LM18 LMFRAM900090679280 1999 LM M
CH900001814151 cwa 31 3 89.44 0.80 P CH Y LM18 LMCHEM900001814151 1999 LM M
CH900001816582 cwa 25 1 89.87 0.75 P CH Y LM18 LMCHEM900001816582 1999 LM M
CH900001768409 cwa 38 1 93.06 0.81 P CH Y LM18 LMCHEM900001768409 1999 LM M
CH900001700003 cwa 29 3 92.70 0.81 P CH Y LM18 LMCHEM900001700003 1999 LM M
CH900001869373 cwa 30 6 88.82 0.81 P CH Y LM18 LMCHEM900001869373 1999 LM M
CH900001948078 cwa 62 10 95.86 0.89 P CH Y LM18 LMCHEM900001948078 1999 LM M
DE007677024033 cwa 552 257 110.50 0.98 P CH Y LM18 LMDEUM900090875610 1999 LM M
CH900001846961 cwa 80 13 100.13 0.92 P CH Y LM18 LMCHEM900001846961 1999 LM M
FR087084204039 cwa 66 1 83.47 0.89 P CH Y LM18 LMFRAM087084204039 1999 LM M
