idaTvd trait nDau nHerd estimate rel type label pubCode base idaItb birthdate breed sex
CH900001547059 cfa 28 10 98.44 0.82 P CH Y LM18 LMCHEM900001547059 1998 LM M
CH900000956906 cfa 69 2 89.95 0.89 P CH Y LM18 LMCHEM900000956906 1998 LM M
CH900001666804 cfa 30 12 100.64 0.80 P CH Y LM18 LMCHEM900001666804 1998 LM M
CH900001452001 cfa 80 3 101.77 0.92 P CH Y LM18 LMCHEM900001452001 1998 LM M
CH900001666842 cfa 37 7 104.76 0.86 P CH Y LM18 LMCHEM900001666842 1998 LM M
CH900001479572 cfa 106 4 104.56 0.94 P CH Y LM18 LMCHEM900001479572 1998 LM M
CH900001850906 cfa 31 3 96.95 0.79 P CH Y LM18 LMFRAM900001850906 1998 LM M
IT002191041124 cfa 123 81 105.27 0.94 P CH Y LM18 LMITAM900090569940 1998 LM M
FR036150697466 cfa 35 12 70.85 0.90 P CH Y LM18 LMFRAM900090889360 1998 LM M
CH900001719760 cfa 27 4 92.31 0.82 P CH Y LM18 LMCHEM900001719760 1998 LM M
CH900001711429 cfa 75 9 96.73 0.89 P CH Y LM18 LMCHEM900001711429 1998 LM M
CH900001649555 cfa 54 5 92.31 0.90 P CH Y LM18 LMCHEM900001649555 1998 LM M
CH900001781026 cfa 64 24 106.09 0.90 P CH Y LM18 LMCHEM900001781026 1998 LM M
CH900001749439 cfa 97 19 104.06 0.93 P CH Y LM18 LMCHEM900001749439 1998 LM M
FR088380862084 cfa 33 7 104.72 0.91 P CH Y LM18 LMFRAM008838086208 1998 LM M
CH900001749453 cfa 69 11 94.43 0.91 P CH Y LM18 LMCHEM900001749453 1998 LM M
CH900001749460 cfa 44 4 86.57 0.84 P CH Y LM18 LMCHEM900001749460 1998 LM M
CH900001722692 cfa 20 3 91.98 0.78 P CH Y LM18 LMCHEM900001722692 1998 LM M
CH900001684433 cfa 29 6 90.37 0.87 P CH Y LM18 LMCHEM900001684433 1998 LM M
CH900001067854 cfa 65 2 107.20 0.88 P CH Y LM18 LMCHEM900001067854 1999 LM M
FR036150995210 cfa 22 2 89.08 0.76 P CH Y LM18 LMFRAM003615099521 1999 LM M
IT330000034259 cfa 112 76 115.57 0.94 P CH Y LM18 LMITAM900090935510 1999 LM M
CH900001781095 cfa 33 1 103.13 0.81 P CH Y LM18 LMCHEM900001781095 1999 LM M
CH900001781378 cfa 30 2 96.64 0.81 P CH Y LM18 LMCHEM900001781378 1999 LM M
CH900001949495 cfa 119 51 105.15 0.95 P CH Y LM18 LMCHEM900001949495 1999 LM M
CH900001699338 cfa 46 5 103.26 0.92 P CH Y LM18 LMCHEM900001699338 1999 LM M
CH900001768430 cfa 40 2 104.48 0.84 P CH Y LM18 LMCHEM900001768430 1999 LM M
FR019303691634 cfa 77 43 99.27 0.92 P CH Y LM18 LMFRAM900090679280 1999 LM M
CH900001814151 cfa 31 3 99.33 0.83 P CH Y LM18 LMCHEM900001814151 1999 LM M
CH900001816582 cfa 25 1 89.36 0.77 P CH Y LM18 LMCHEM900001816582 1999 LM M
CH900001768409 cfa 38 1 89.49 0.83 P CH Y LM18 LMCHEM900001768409 1999 LM M
CH900001700003 cfa 29 3 96.16 0.83 P CH Y LM18 LMCHEM900001700003 1999 LM M
CH900001869373 cfa 30 6 99.70 0.83 P CH Y LM18 LMCHEM900001869373 1999 LM M
CH900001948078 cfa 63 10 91.47 0.90 P CH Y LM18 LMCHEM900001948078 1999 LM M
DE007677024033 cfa 553 258 112.57 0.98 P CH Y LM18 LMDEUM900090875610 1999 LM M
CH900001846961 cfa 80 13 97.62 0.93 P CH Y LM18 LMCHEM900001846961 1999 LM M
FR087084204039 cfa 66 1 104.38 0.90 P CH Y LM18 LMFRAM087084204039 1999 LM M
